energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.149 1 1
0.299 0.04989486933 0.04989486933
0.301 0.05282678083 0.05282678083
0.303 0.05585044995 0.05585044995
0.305 0.05896484479 0.05896484479
0.307 0.06216885149 0.06216885149
0.309 0.06546117365 0.06546117365
0.311 0.06884039193 0.06884039193
0.313 0.07230503112 0.07230503112
0.315 0.07585341483 0.07585341483
0.317 0.07948385924 0.07948385924
0.319 0.08319471031 0.08319471031
0.321 0.08698393404 0.08698393404
0.323 0.09084973484 0.09084973484
0.325 0.09479021281 0.09479021281
0.327 0.09880299121 0.09880299121
0.329 0.1028862223 0.1028862223
0.331 0.107037738 0.107037738
0.333 0.1112552062 0.1112552062
0.335 0.1155365556 0.1155365556
0.337 0.1198797226 0.1198797226
0.339 0.1242820174 0.1242820174
0.341 0.1287415028 0.1287415028
0.343 0.1332556903 0.1332556903
0.345 0.1378223598 0.1378223598
0.347 0.142439127 0.142439127
0.349 0.146990478 0.146990478
0.351 0.151028201 0.151028201
0.353 0.1557576507 0.1557576507
0.355 0.1605283767 0.1605283767
0.357 0.1653378606 0.1653378606
0.359 0.1701839417 0.1701839417
0.361 0.1750643402 0.1750643402
0.363 0.17997697 0.17997697
0.365 0.184919998 0.184919998
0.367 0.1898908168 0.1898908168
0.369 0.1948877722 0.1948877722
0.371 0.1999085993 0.1999085993
0.373 0.2049512863 0.2049512863
0.375 0.2100138217 0.2100138217
0.377 0.215094313 0.215094313
0.379 0.2201910317 0.2201910317
0.381 0.2253018469 0.2253018469
0.383 0.2304251641 0.2304251641
0.385 0.2355590016 0.2355590016
0.387 0.240701884 0.240701884
0.389 0.2458517998 0.2458517998
0.391 0.2510071397 0.2510071397
0.393 0.2561666369 0.2561666369
0.395 0.261328429 0.261328429
0.397 0.2664910555 0.2664910555
0.399 0.2716530859 0.2716530859
0.401 0.2729253173 0.2729253173
0.403 0.2624028027 0.2624028027
0.405 0.2673785686 0.2673785686
0.407 0.2723529935 0.2723529935
0.409 0.2773249745 0.2773249745
0.411 0.2822932005 0.2822932005
0.413 0.2872565687 0.2872565687
0.415 0.2922139466 0.2922139466
0.417 0.2971639335 0.2971639335
0.419 0.3021057844 0.3021057844
0.421 0.3070380688 0.3070380688
0.423 0.3119601309 0.3119601309
0.425 0.3168708086 0.3168708086
0.427 0.3217691779 0.3217691779
0.429 0.3266545832 0.3266545832
0.431 0.3315254748 0.3315254748
0.433 0.3363817036 0.3363817036
0.435 0.3412220776 0.3412220776
0.437 0.3460457921 0.3460457921
0.439 0.3508524895 0.3508524895
0.441 0.3556411266 0.3556411266
0.443 0.3604109585 0.3604109585
0.445 0.3651614785 0.3651614785
0.447 0.3698920608 0.3698920608
0.449 0.3746018112 0.3746018112
0.451 0.3792906106 0.3792906106
0.453 0.3839576244 0.3839576244
0.455 0.3886023462 0.3886023462
0.457 0.393224448 0.393224448
0.459 0.3978231549 0.3978231549
0.461 0.4023984075 0.4023984075
0.463 0.4069493115 0.4069493115
0.465 0.4114758074 0.4114758074
0.467 0.4159774482 0.4159774482
0.469 0.4204538167 0.4204538167
0.471 0.4249047041 0.4249047041
