energy_kev phabs_nh0.101_model_model phabs_nh0.101_model_y
0.100345 3.327618291e-27 3.327618291e-27
0.10104 8.730960736e-27 8.730960736e-27
0.101745 2.676481176e-26 2.676481176e-26
0.10245 7.983793749e-26 7.983793749e-26
0.10316 2.336705841e-25 2.336705841e-25
0.10388 6.762798044e-25 6.762798044e-25
0.1046 1.90692451e-24 1.90692451e-24
0.105325 5.279245715e-24 5.279245715e-24
0.106055 1.435507702e-23 1.435507702e-23
0.10679 3.835028989e-23 3.835028989e-23
0.10753 1.006771298e-22 1.006771298e-22
0.108275 2.597754302e-22 2.597754302e-22
0.10903 6.630713415e-22 6.630713415e-22
0.109785 1.653919463e-21 1.653919463e-21
0.110545 4.05785526e-21 4.05785526e-21
0.111315 9.851024777e-21 9.851024777e-21
0.112085 2.339896205e-20 2.339896205e-20
0.11286 5.470723125e-20 5.470723125e-20
0.113645 1.266166915e-19 1.266166915e-19
0.114435 2.884872002e-19 2.884872002e-19
0.11523 6.473220274e-19 6.473220274e-19
0.11603 1.430858781e-18 1.430858781e-18
0.116835 3.116330579e-18 3.116330579e-18
0.117645 6.689006777e-18 6.689006777e-18
0.11846 1.415328197e-17 1.415328197e-17
0.119285 2.96576278e-17 2.96576278e-17
0.120115 6.127840005e-17 6.127840005e-17
0.120945 1.243518217e-16 1.243518217e-16
0.12178 2.489871083e-16 2.489871083e-16
0.122625 4.940153435e-16 4.940153435e-16
0.12348 9.711244387e-16 9.711244387e-16
0.12434 1.884163381e-15 1.884163381e-15
0.1252 3.59560658e-15 3.59560658e-15
0.126065 6.7769069e-15 6.7769069e-15
0.12694 1.266126723e-14 1.266126723e-14
0.12782 2.337186841e-14 2.337186841e-14
0.128705 4.262485615e-14 4.262485615e-14
0.1296 7.708610361e-14 7.708610361e-14
0.1305 1.377906442e-13 1.377906442e-13
0.131405 2.434726682e-13 2.434726682e-13
0.13232 4.26724655e-13 4.26724655e-13
0.13324 7.395718695e-13 7.395718695e-13
0.134165 1.267747084e-12 1.267747084e-12
0.135095 2.149931058e-12 2.149931058e-12
0.13603 3.607578646e-12 3.607578646e-12
0.136975 6.007269335e-12 6.007269335e-12
0.137925 9.901366185e-12 9.901366185e-12
0.13888 1.61554381e-11 1.61554381e-11
0.139845 2.616560787e-11 2.616560787e-11
0.140815 4.196400519e-11 4.196400519e-11
0.14179 6.665812347e-11 6.665812347e-11
0.142775 1.051321113e-10 1.051321113e-10
0.143765 1.642745662e-10 1.642745662e-10
