energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.10035 3.336809203e-27 3.336809203e-27
0.10105 1.050639271e-26 1.050639271e-26
0.10175 3.21585388e-26 3.21585388e-26
0.10245 9.577207306e-26 9.577207306e-26
0.10315 2.77745171e-25 2.77745171e-25
0.10385 7.827997568e-25 7.827997568e-25
0.1046 2.309129634e-24 2.309129634e-24
0.10535 6.656064883e-24 6.656064883e-24
0.10605 1.709302625e-23 1.709302625e-23
0.1068 4.581268082e-23 4.581268082e-23
0.10755 1.222280375e-22 1.222280375e-22
0.1083 3.177151678e-22 3.177151678e-22
0.10905 8.078118039e-22 8.078118039e-22
0.1098 2.004258512e-21 2.004258512e-21
0.11055 4.870604279e-21 4.870604279e-21
0.1113 1.156702781e-20 1.156702781e-20
0.1121 2.845981907e-20 2.845981907e-20
0.1129 6.842881682e-20 6.842881682e-20
0.11365 1.527234051e-19 1.527234051e-19
0.1144 3.34010346e-19 3.34010346e-19
0.1152 7.546232794e-19 7.546232794e-19
0.116 1.670555916e-18 1.670555916e-18
0.1168 3.626009237e-18 3.626009237e-18
0.11765 8.084888561e-18 8.084888561e-18
0.1185 1.767598176e-17 1.767598176e-17
0.1193 3.621057509e-17 3.621057509e-17
0.1201 7.29031541e-17 7.29031541e-17
0.12095 1.504546054e-16 1.504546054e-16
0.1218 3.051669438e-16 3.051669438e-16
0.12265 6.073877231e-16 6.073877231e-16
0.1235 1.189407014e-15 1.189407014e-15
0.12435 2.288194285e-15 2.288194285e-15
0.1252 4.333617423e-15 4.333617423e-15
0.12605 8.071789985e-15 8.071789985e-15
0.12695 1.535157772e-14 1.535157772e-14
0.12785 2.871731967e-14 2.871731967e-14
0.12875 5.286531074e-14 5.286531074e-14
0.12965 9.581934538e-14 9.581934538e-14
0.13055 1.710813375e-13 1.710813375e-13
0.13145 3.010387439e-13 3.010387439e-13
0.13235 5.222860594e-13 5.222860594e-13
0.13325 8.938185395e-13 8.938185395e-13
0.13415 1.509478392e-12 1.509478392e-12
0.1351 2.587197994e-12 2.587197994e-12
0.13605 4.376447684e-12 4.376447684e-12
0.13695 7.109847163e-12 7.109847163e-12
0.1379 1.171253356e-11 1.171253356e-11
0.1389 1.954721059e-11 1.954721059e-11
0.13985 3.141107181e-11 3.141107181e-11
0.1408 4.98501593e-11 4.98501593e-11
0.1418 8.008795072e-11 8.008795072e-11
0.1428 1.27092855e-10 1.27092855e-10
0.1438 1.992962205e-10 1.992962205e-10
0.1448 3.089334221e-10 3.089334221e-10
0.1458 4.73561716e-10 4.73561716e-10
0.1468 7.181022093e-10 7.181022093e-10
0.1478 1.0775566e-09 1.0775566e-09
0.1488 1.600585912e-09 1.600585912e-09
0.14985 2.398821064e-09 2.398821064e-09
0.1509 3.559328728e-09 3.559328728e-09
0.15195 5.225244514e-09 5.225244514e-09
0.153 7.599209009e-09 7.599209009e-09
0.15405 1.094173693e-08 1.094173693e-08
0.15515 1.587600166e-08 1.587600166e-08
0.1562 2.238060651e-08 2.238060651e-08
0.15725 3.126464121e-08 3.126464121e-08
0.15835 4.412395819e-08 4.412395819e-08
0.15945 6.171894869e-08 6.171894869e-08
0.16055 8.558722865e-08 8.558722865e-08
0.1617 1.193671973e-07 1.193671973e-07
0.16285 1.650766717e-07 1.650766717e-07
0.16395 2.232567461e-07 2.232567461e-07
0.1651 3.035885327e-07 3.035885327e-07
0.16625 4.096679968e-07 4.096679968e-07
0.1674 5.483493822e-07 5.483493822e-07
0.16855 7.287153807e-07 7.287153807e-07
0.1697 9.368260852e-07 9.368260852e-07
0.1709 1.210258861e-06 1.210258861e-06
0.1721 1.59219931e-06 1.59219931e-06
0.1733 2.079676045e-06 2.079676045e-06
0.1745 2.697574967e-06 2.697574967e-06
0.1757 3.475581668e-06 3.475581668e-06
0.1769 4.448877762e-06 4.448877762e-06
0.17815 5.714384518e-06 5.714384518e-06
0.1794 7.293336634e-06 7.293336634e-06
0.1806 9.161552107e-06 9.161552107e-06
0.18185 1.154632238e-05 1.154632238e-05
0.18315 1.459569582e-05 1.459569582e-05
0.1844 1.817874833e-05 1.817874833e-05
0.18565 2.250922283e-05 2.250922283e-05
0.18695 2.795177502e-05 2.795177502e-05
0.18825 3.45128479e-05 3.45128479e-05
0.18955 4.23794102e-05 4.23794102e-05
0.1909 5.215058382e-05 5.215058382e-05
0.19225 6.383134364e-05 6.383134364e-05
0.19355 7.71440866e-05 7.71440866e-05
0.1949 9.342691077e-05 9.342691077e-05
0.19625 0.0001125980088 0.0001125980088
0.1976 0.0001350174025 0.0001350174025
0.199 0.0001621970062 0.0001621970062
0.20035 0.0001926923023 0.0001926923023
0.2017 0.0002278729538 0.0002278729538
0.2031 0.0002699544213 0.0002699544213
0.20455 0.0003202146423 0.0003202146423
0.206 0.0003781407405 0.0003781407405
0.2074 0.0004420787471 0.0004420787471
0.20885 0.0005173420837 0.0005173420837
0.2103 0.0006029788769 0.0006029788769
0.21175 0.0007000390726 0.0007000390726
0.21325 0.0008136160619 0.0008136160619
0.2147 0.0009373335295 0.0009373335295
0.21615 0.001075776142 0.001075776142
0.21765 0.001236004006 0.001236004006
0.2192 0.001421103573 0.001421103573
0.22075 0.001627940228 0.001627940228
0.22225 0.001850145668 0.001850145668
0.2238 0.002104197753 0.002104197753
0.22535 0.002385204912 0.002385204912
0.2269 0.002694494793 0.002694494793
0.2285 0.00304578658 0.00304578658
0.2301 0.003431513054 0.003431513054
0.2317 0.003853749946 0.003853749946
0.2333 0.004314583317 0.004314583317
0.2349 0.004806010081 0.004806010081
0.2365 0.005337958804 0.005337958804
0.23815 0.005943476749 0.005943476749
