energy_kev tbabs_nh0.101_model_model tbabs_nh0.101_model_y
0.149 0.2432056058 0.2432056058
0.299 0.06163630291 0.06163630291
0.301 0.06506985941 0.06506985941
0.303 0.0685996996 0.0685996996
0.305 0.07222417601 0.07222417601
0.307 0.07594151644 0.07594151644
0.309 0.07974983509 0.07974983509
0.311 0.08364713937 0.08364713937
0.313 0.08763134632 0.08763134632
0.315 0.09170027783 0.09170027783
0.317 0.09585167665 0.09585167665
0.319 0.1000832147 0.1000832147
0.321 0.1043925089 0.1043925089
0.323 0.1087771096 0.1087771096
0.325 0.1131919679 0.1131919679
0.327 0.1176738957 0.1176738957
0.329 0.1222662107 0.1222662107
0.331 0.1269236244 0.1269236244
0.333 0.1316435311 0.1316435311
0.335 0.1364232952 0.1364232952
0.337 0.141260278 0.141260278
0.339 0.1461518509 0.1461518509
0.341 0.1510953717 0.1510953717
0.343 0.156088209 0.156088209
0.345 0.1611277487 0.1611277487
0.347 0.1662113943 0.1662113943
0.349 0.171336569 0.171336569
0.351 0.1765007127 0.1765007127
0.353 0.1813973328 0.1813973328
0.355 0.1863129352 0.1863129352
0.357 0.1915655304 0.1915655304
0.359 0.1968473287 0.1968473287
0.361 0.2021559462 0.2021559462
0.363 0.2074890485 0.2074890485
0.365 0.2128443377 0.2128443377
0.367 0.2182195506 0.2182195506
0.369 0.2236124993 0.2236124993
0.371 0.2290210092 0.2290210092
0.373 0.2344429728 0.2344429728
0.375 0.2398763373 0.2398763373
0.377 0.2453190797 0.2453190797
0.379 0.2507692485 0.2507692485
0.381 0.2562249322 0.2562249322
0.383 0.2616842731 0.2616842731
0.385 0.2671454563 0.2671454563
0.387 0.2726067356 0.2726067356
0.389 0.2780664116 0.2780664116
0.391 0.2835228354 0.2835228354
0.393 0.2889744178 0.2889744178
0.395 0.2944196083 0.2944196083
0.397 0.2998569101 0.2998569101
0.399 0.3052848736 0.3052848736
0.401 0.3107021236 0.3107021236
0.403 0.3161073122 0.3161073122
0.405 0.3134063688 0.3134063688
0.407 0.3107066497 0.3107066497
0.409 0.3159634275 0.3159634275
0.411 0.3212074372 0.3212074372
0.413 0.3264375325 0.3264375325
0.415 0.3316526136 0.3316526136
0.417 0.3368516157 0.3368516157
0.419 0.3420335369 0.3420335369
0.421 0.347197392 0.347197392
0.423 0.3523422478 0.3523422478
0.425 0.3574672048 0.3574672048
0.427 0.3625714004 0.3625714004
0.429 0.367654025 0.367654025
0.431 0.3727142893 0.3727142893
0.433 0.3777514507 0.3777514507
0.435 0.3827647987 0.3827647987
0.437 0.3877536486 0.3877536486
0.439 0.3927173622 0.3927173622
0.441 0.3976553385 0.3976553385
0.443 0.4024964387 0.4024964387
0.445 0.4073091438 0.4073091438
0.447 0.4121653515 0.4121653515
0.449 0.4169937032 0.4169937032
0.451 0.421793737 0.421793737
0.453 0.4265650286 0.4265650286
0.455 0.4313071673 0.4313071673
0.457 0.4360197715 0.4360197715
0.459 0.4407024905 0.4407024905
0.461 0.4453549913 0.4453549913
0.463 0.4499769736 0.4499769736
0.465 0.4545681651 0.4545681651
0.467 0.4591282917 0.4591282917
0.469 0.4636571075 0.4636571075
0.471 0.468154415 0.468154415
0.473 0.4726200095 0.4726200095
0.475 0.4770537095 0.4770537095
0.477 0.4814553695 0.4814553695
0.479 0.4858248305 0.4858248305
0.481 0.4901619696 0.4901619696
0.483 0.4944667019 0.4944667019
0.485 0.4987389246 0.4987389246
0.487 0.5029785451 0.5029785451
0.489 0.5071855213 0.5071855213
0.491 0.5111731739 0.5111731739
0.493 0.5151292122 0.5151292122
0.495 0.5192475976 0.5192475976
0.497 0.5233409972 0.5233409972
0.499 0.5274086094 0.5274086094
0.501 0.5314506528 0.5314506528
0.503 0.5354659409 0.5354659409
0.505 0.539453111 0.539453111
0.507 0.5434098609 0.5434098609
0.509 0.5473349442 0.5473349442
0.511 0.5512253955 0.5512253955
0.513 0.5550744252 0.5550744252
0.515 0.5588687862 0.5588687862
0.517 0.5625799807 0.5625799807
0.519 0.5661380972 0.5661380972
0.521 0.5693220058 0.5693220058
0.523 0.5711209124 0.5711209124
0.525 0.5600607419 0.5600607419
0.527 0.4697533091 0.4697533091
0.529 0.4798894261 0.4798894261
0.531 0.5794671721 0.5794671721
0.533 0.5883422414 0.5883422414
0.535 0.5934491426 0.5934491426
0.537 0.5976829557 0.5976829557
0.539 0.599655997 0.599655997
0.541 0.4843527622 0.4843527622
0.543 0.4604024368 0.4604024368
0.545 0.510491279 0.510491279
0.547 0.4876092205 0.4876092205
0.549 0.4778199661 0.4778199661
0.551 0.4685324383 0.4685324383
0.553 0.4774496601 0.4774496601
0.555 0.4886271761 0.4886271761
0.557 0.4953243304 0.4953243304
0.559 0.4970119346 0.4970119346
0.561 0.5061458256 0.5061458256
0.563 0.5110872552 0.5110872552
0.565 0.5105187042 0.5105187042
0.567 0.515604765 0.515604765
0.569 0.5205521552 0.5205521552
0.571 0.5245057401 0.5245057401
0.573 0.5286119963 0.5286119963
0.575 0.5325908433 0.5325908433
0.577 0.5364935183 0.5364935183
0.579 0.540304618 0.540304618
0.581 0.5440094578 0.5440094578
0.583 0.5476193164 0.5476193164
0.585 0.550840254 0.550840254
0.587 0.5537685749 0.5537685749
0.589 0.5567441107 0.5567441107
0.591 0.5596997479 0.5596997479
0.593 0.5626355274 0.5626355274
0.595 0.5655515111 0.5655515111
0.597 0.5684477607 0.5684477607
0.599 0.571324342 0.571324342
0.601 0.5741812964 0.5741812964
0.603 0.5770186877 0.5770186877
0.605 0.5798366139 0.5798366139
0.607 0.5826351286 0.5826351286
0.609 0.5854142954 0.5854142954
0.611 0.5881741984 0.5881741984
0.613 0.5909148979 0.5909148979
0.615 0.593636498 0.593636498
0.617 0.5963390664 0.5963390664
0.619 0.5990226661 0.5990226661
0.621 0.6016874051 0.6016874051
0.623 0.604333355 0.604333355
0.625 0.6069605963 0.6069605963
0.627 0.609569228 0.609569228
0.629 0.6121593466 0.6121593466
0.631 0.6147310171 0.6147310171
0.633 0.6172843342 0.6172843342
0.635 0.6198194144 0.6198194144
0.637 0.6223363301 0.6223363301
0.639 0.6248351884 0.6248351884
